address_line_1,address_line_2,postcode
Flat 1 12 Brixton Road,London,SW9 6BU
221B Baker Street,London,NW1 6XE
10 Downing Street,London,SW1A 2AA
1 Waterloo Road,London,SE1 8TY
9 Clapham Common North Side,London,SW4 0QW
3 Coldharbour Lane,London,SW9 8LH
17 Acre Lane,London,SW2 5SP
65 Camberwell Church Street,London,SE5 8TR
88 Fictional Road,London,SE1 1AA
19 Imaginary Parade,London,SW8 9ZZ
address_line_1,address_line_2,postcode
Flat 1 12 Brixton Road,London,SW9 6BU
221B Baker Street,London,NW1 6XE
10 Downing Street,London,SW1A 2AA
1 Waterloo Road,London,SE1 8TY
9 Clapham Common North Side,London,SW4 0QW
3 Coldharbour Lane,London,SW9 8LH
17 Acre Lane,London,SW2 5SP
65 Camberwell Church Street,London,SE5 8TR
88 Fictional Road,London,SE1 1AA
19 Imaginary Parade,London,SW8 9ZZ
